slope_pct,raw_speed_kmh,current_speed_kmh,walk_bike_speed_kmh,hybrid_routing_speed_kmh
-29.3,116.726,24,1.78116,0.25
-29.28,116.684,24,1.7824,0.25
-29.26,116.643,24,1.78365,0.25
-29.24,116.602,24,1.7849,0.25
-29.22,116.561,24,1.78615,0.25
-29.2,116.519,24,1.7874,0.25
-29.18,116.478,24,1.78865,0.25
-29.16,116.437,24,1.78991,0.25
-29.14,116.395,24,1.79116,0.25
-29.12,116.354,24,1.79241,0.25
-29.1,116.313,24,1.79367,0.25
-29.08,116.271,24,1.79492,0.25
-29.06,116.23,24,1.79618,0.25
-29.04,116.189,24,1.79744,0.25
-29.02,116.147,24,1.7987,0.25
-29,116.106,24,1.79996,0.25
-28.98,116.065,24,1.80122,0.25
-28.96,116.023,24,1.80248,0.25
-28.94,115.982,24,1.80374,0.25
-28.92,115.94,24,1.805,0.25
-28.9,115.899,24,1.80627,0.25
-28.88,115.857,24,1.80753,0.25
-28.86,115.816,24,1.8088,0.25
-28.84,115.774,24,1.81007,0.25
-28.82,115.733,24,1.81133,0.25
-28.8,115.691,24,1.8126,0.25
-28.78,115.65,24,1.81387,0.25
-28.76,115.608,24,1.81514,0.25
-28.74,115.566,24,1.81641,0.25
-28.72,115.525,24,1.81768,0.25
-28.7,115.483,24,1.81896,0.25
-28.68,115.441,24,1.82023,0.25
-28.66,115.4,24,1.8215,0.25
-28.64,115.358,24,1.82278,0.25
-28.62,115.316,24,1.82406,0.25
-28.6,115.275,24,1.82533,0.25
-28.58,115.233,24,1.82661,0.25
-28.56,115.191,24,1.82789,0.25
-28.54,115.149,24,1.82917,0.25
-28.52,115.108,24,1.83045,0.25
-28.5,115.066,24,1.83173,0.25
-28.48,115.024,24,1.83302,0.25
-28.46,114.982,24,1.8343,0.25
-28.44,114.94,24,1.83558,0.25
-28.42,114.899,24,1.83687,0.25
-28.4,114.857,24,1.83816,0.25
-28.38,114.815,24,1.83944,0.25
-28.36,114.773,24,1.84073,0.25
-28.34,114.731,24,1.84202,0.25
-28.32,114.689,24,1.84331,0.25
-28.3,114.647,24,1.8446,0.25
